Year,Species,Tonnes
1979,Dicentrarchus labrax,0.1
1980,Dicentrarchus labrax,0.25
1981,Dicentrarchus labrax,0.25
1982,Dicentrarchus labrax,0.5
1983,Dicentrarchus labrax,1
1984,Dicentrarchus labrax,2.05
1984,Sparus aurata,0.35
1985,Dicentrarchus labrax,6.75
1985,Sparus aurata,7.35
1986,Dicentrarchus labrax,9.1
1986,Sparus aurata,7.7
1987,Dicentrarchus labrax,10.65
1987,Sparus aurata,8.3
1988,Dicentrarchus labrax,11.85
1988,Sparus aurata,23.6
1989,Dicentrarchus labrax,24.7
1989,Sparus aurata,37.2
1990,Dicentrarchus labrax,58.8
1990,Sparus aurata,67.6
1991,Dicentrarchus labrax,125.95
1991,Sparus aurata,138
1992,Dicentrarchus labrax,266.75
1992,Sparus aurata,275.15
1993,Dicentrarchus labrax,422.1
1993,Sparus aurata,396.2
1994,Dicentrarchus labrax,488.15
1994,Sparus aurata,526.25
1995,Dicentrarchus labrax,655.3
1995,Sparus aurata,690.7
1996,Dicentrarchus labrax,753.15
1996,Sparus aurata,974.9
1997,Dicentrarchus labrax,928.8
1997,Sparus aurata,1256.3
1998,Dicentrarchus labrax,1140.2
1998,Sparus aurata,1551.15
1999,Dicentrarchus labrax,1460.5
1999,Sparus aurata,2144.6
2000,Dicentrarchus labrax,1597.75
2000,Sparus aurata,2534.6
2001,Dicentrarchus labrax,1542.55
2001,Sparus aurata,2691.3
2002,Dicentrarchus labrax,1532.1
2002,Sparus aurata,2556.35
2003,Dicentrarchus labrax,1740.15
2003,Sparus aurata,2966.1
2004,Dicentrarchus labrax,1649.8
2004,Sparus aurata,2735.75
2005,Dicentrarchus labrax,2031.45
2005,Sparus aurata,3014.05
2006,Dicentrarchus labrax,2229.4
2006,Sparus aurata,3127
2007,Dicentrarchus labrax,2320.25
2007,Sparus aurata,3590
2008,Dicentrarchus labrax,2171.425
2008,Sparus aurata,3615.84
2009,Dicentrarchus labrax,2119.785
2009,Sparus aurata,4129.505
2010,Dicentrarchus labrax,2471.73
2010,Sparus aurata,3915.8
2011,Dicentrarchus labrax,2603.0067
2011,Sparus aurata,3376.778
2012,Dicentrarchus labrax,2408.8450000000003
2012,Sparus aurata,3675.625
2013,Dicentrarchus labrax,2352.0099999999998
2013,Sparus aurata,3928.425
2014,Dicentrarchus labrax,2296.1124
2014,Sparus aurata,3526.7065500000003
2015,Dicentrarchus labrax,2566.355
2015,Sparus aurata,3357.8949999999995
2016,Dicentrarchus labrax,2995.6288
2016,Sparus aurata,3376.74505
2017,Dicentrarchus labrax,2945.408
2017,Sparus aurata,3912.66835
2018,Dicentrarchus labrax,3214.5196
2018,Sparus aurata,3730.5595500000004
2019,Dicentrarchus labrax,3093.2643
2019,Sparus aurata,3653.1258500000004
2020,Dicentrarchus labrax,2897.8111
2020,Sparus aurata,3678.5014499999997
