Species,Year,Tonnes
Sparus aurata,1950,NA
Sparus aurata,1951,NA
Sparus aurata,1952,NA
Sparus aurata,1953,NA
Sparus aurata,1954,NA
Sparus aurata,1955,NA
Sparus aurata,1956,NA
Sparus aurata,1957,NA
Sparus aurata,1958,NA
Sparus aurata,1959,NA
Sparus aurata,1960,NA
Sparus aurata,1961,NA
Sparus aurata,1962,NA
Sparus aurata,1963,NA
Sparus aurata,1964,NA
Sparus aurata,1965,NA
Sparus aurata,1966,NA
Sparus aurata,1967,NA
Sparus aurata,1968,NA
Sparus aurata,1969,NA
Sparus aurata,1970,NA
Sparus aurata,1971,NA
Sparus aurata,1972,NA
Sparus aurata,1973,NA
Sparus aurata,1974,NA
Sparus aurata,1975,NA
Sparus aurata,1976,NA
Sparus aurata,1977,NA
Sparus aurata,1978,NA
Sparus aurata,1979,NA
Sparus aurata,1980,NA
Sparus aurata,1981,NA
Sparus aurata,1982,NA
Sparus aurata,1983,NA
Sparus aurata,1984,NA
Sparus aurata,1985,NA
Sparus aurata,1986,NA
Sparus aurata,1987,NA
Sparus aurata,1988,NA
Sparus aurata,1989,NA
Sparus aurata,1990,0.02320303502472732
Sparus aurata,1991,0.021114548978273435
Sparus aurata,1992,0.022499146466370776
Sparus aurata,1993,0.03262935586061246
Sparus aurata,1994,0.026594202898550724
Sparus aurata,1995,0.018013120220361712
Sparus aurata,1996,0.018325849669623626
Sparus aurata,1997,0.015281899109792284
Sparus aurata,1998,0.016889020288998115
Sparus aurata,1999,0.017682538493237927
Sparus aurata,2000,0.03678028114769882
Sparus aurata,2001,0.045620721841941506
Sparus aurata,2002,0.044050613014775225
Sparus aurata,2003,0.046769255559136316
Sparus aurata,2004,0.05032768641028812
Sparus aurata,2005,0.05089719939627704
Sparus aurata,2006,0.05154201841089382
Sparus aurata,2007,0.059636395042535734
Sparus aurata,2008,0.06609574000878349
Sparus aurata,2009,0.07115031567635338
Sparus aurata,2010,0.06831625050796948
Sparus aurata,2011,0.07779615844131973
Sparus aurata,2012,0.06261449574897834
Sparus aurata,2013,0.06576850644647254
Sparus aurata,2014,0.06897910918407568
Sparus aurata,2015,0.07416019393459655
Sparus aurata,2016,0.0950544931112482
Sparus aurata,2017,0.1049472915144557
Sparus aurata,2018,0.105515332197615
Sparus aurata,2019,0.09233000804505229
Sparus aurata,2020,0.12251688423778187
Dicentrarchus labrax,1950,NA
Dicentrarchus labrax,1951,NA
Dicentrarchus labrax,1952,NA
Dicentrarchus labrax,1953,NA
Dicentrarchus labrax,1954,NA
Dicentrarchus labrax,1955,NA
Dicentrarchus labrax,1956,NA
Dicentrarchus labrax,1957,NA
Dicentrarchus labrax,1958,NA
Dicentrarchus labrax,1959,NA
Dicentrarchus labrax,1960,NA
Dicentrarchus labrax,1961,NA
Dicentrarchus labrax,1962,NA
Dicentrarchus labrax,1963,NA
Dicentrarchus labrax,1964,NA
Dicentrarchus labrax,1965,NA
Dicentrarchus labrax,1966,NA
Dicentrarchus labrax,1967,NA
Dicentrarchus labrax,1968,NA
Dicentrarchus labrax,1969,NA
Dicentrarchus labrax,1970,NA
Dicentrarchus labrax,1971,NA
Dicentrarchus labrax,1972,NA
Dicentrarchus labrax,1973,NA
Dicentrarchus labrax,1974,NA
Dicentrarchus labrax,1975,NA
Dicentrarchus labrax,1976,NA
Dicentrarchus labrax,1977,NA
Dicentrarchus labrax,1978,NA
Dicentrarchus labrax,1979,NA
Dicentrarchus labrax,1980,NA
Dicentrarchus labrax,1981,NA
Dicentrarchus labrax,1982,NA
Dicentrarchus labrax,1983,NA
Dicentrarchus labrax,1984,NA
Dicentrarchus labrax,1985,NA
Dicentrarchus labrax,1986,NA
Dicentrarchus labrax,1987,NA
Dicentrarchus labrax,1988,NA
Dicentrarchus labrax,1989,NA
Dicentrarchus labrax,1990,0.031027708149854345
Dicentrarchus labrax,1991,0.026350685117813064
Dicentrarchus labrax,1992,0.03379993171730966
Dicentrarchus labrax,1993,0.050897571277719114
Dicentrarchus labrax,1994,0.02217391304347826
Dicentrarchus labrax,1995,0.02076764162226813
Dicentrarchus labrax,1996,0.01876391778921622
Dicentrarchus labrax,1997,0.019584569732937686
Dicentrarchus labrax,1998,0.01544772534092169
Dicentrarchus labrax,1999,0.026823511782115162
Dicentrarchus labrax,2000,0.031003273637589063
Dicentrarchus labrax,2001,0.030997199751088986
Dicentrarchus labrax,2002,0.03756680289217227
Dicentrarchus labrax,2003,0.0382694166935224
Dicentrarchus labrax,2004,0.04670046576810519
Dicentrarchus labrax,2005,0.05236458158644977
Dicentrarchus labrax,2006,0.07194671870360157
Dicentrarchus labrax,2007,0.05631126657166299
Dicentrarchus labrax,2008,0.03763724198506807
Dicentrarchus labrax,2009,0.03273183181838535
Dicentrarchus labrax,2010,0.0345870772565133
Dicentrarchus labrax,2011,0.029822626596820147
Dicentrarchus labrax,2012,0.02489548593170182
Dicentrarchus labrax,2013,0.024095803756820706
Dicentrarchus labrax,2014,0.022910918407567992
Dicentrarchus labrax,2015,0.02082817988423292
Dicentrarchus labrax,2016,0.027760641579272053
Dicentrarchus labrax,2017,0.027972027972027972
Dicentrarchus labrax,2018,0.026139267461669505
Dicentrarchus labrax,2019,0.031930061678734245
Dicentrarchus labrax,2020,0.06403565648937318
